Summer 2010 [Final],OCR,GCSE, Engineering:Impact of Modern Technologies on Engineering (Examined Unit):Written Paper  ,A624/02,1h 00m ,20 May 2010, Thursday pm  
Summer 2009 [Final],Edexcel,GCSE, BUSINESS STUDIES HIGHER PAPER  ,3503 02,1h 30m ,9 June 2009, Tuesday pm  
Summer 2009 [Final],AQA,GCE, Business Studies 5 Written  ,BU5W,1h 30m ,10 June 2009, Wednesday am  
Summer 2009 [Final],OCR,GCE, Business Studies:Business Strategy:Written Paper  ,2880/01,2h 00m ,10 June 2009, Wednesday am  
Summer 2009 [Final],Edexcel,GCE, BUSINESS STUDIES ANALYSIS/DECISION MAKING  ,6124 01,1h 15m ,10 June 2009, Wednesday am  
Summer 2010 [Final],WJEC,GCE, Film Studies FM2 (New Specification)  ,118201,2h 30m ,19 May 2010, Wednesday am  
Summer 2010 [Final],WJEC,GCE, Film Studies FM4 (New Specification)  ,118401,2h 45m ,16 June 2010, Wednesday am  
March 2012 [Final],WJEC,ELC, Music- Listening Test  ,071901,45m    ,19 March 2012, Monday pm  
Summer 2010 [Final],CCEA,GCSE, Spanish(Foundation Tier)  ,G7501,0h 25m ,24 May 2010, Monday pm  
Summer 2010 [Final],WJEC,GCSE, Spanish Unit 3 Reading Foundation (New Specification)  ,452301,35m    ,24 May 2010, Monday pm  
Summer 2010 [Final],Edexcel,GCSE, SPANISH READING FOUNDATION  ,1246 3F,0h 40m ,24 May 2010, Monday pm  
Summer 2010 [Final],WJEC,GCSE, Spanish Listening Higher (Legacy)  ,21906,45m    ,24 May 2010, Monday pm  
Summer 2010 [Final],WJEC,GCSE, Spanish Listening Foundation (Legacy)  ,21902,35m    ,24 May 2010, Monday pm  
Summer 2010 [Final],AQA,GCSE, Spanish (Short Course) (Listening)    ,3697/LH,30m    ,24 May 2010, Monday pm  
Summer 2010 [Final],WJEC,GCSE, Spanish Unit 1 Listening Foundation (New Specification)  ,452101,35m    ,24 May 2010, Monday pm  
Summer 2010 [Final],AQA,GCSE, Spanish B (Modular) Listening Test    ,46904/LH,30m    ,24 May 2010, Monday pm  
Summer 2010 [Final],WJEC,GCSE, Spanish Unit 3 Reading Higher (New Specification)  ,452302,45m    ,24 May 2010, Monday pm  
Summer 2010 [Final],AQA,GCSE, Spanish (Listening)    ,3691/LH,45m    ,24 May 2010, Monday pm  
January 2013 [Provisional],AQA,GCE, General Studies A 1  OT }  ,GENA1/1,1h 30m ,11 January 2013, Friday am  
January 2013 [Provisional],AQA,GCE, General Studies A 1 Written }    ,GENA1/2,0h 0m  ,11 January 2013, Friday am  
January 2013 [Provisional],AQA,GCE, General Studies A 3  ,GENA3,2h     ,15 January 2013, Tuesday pm  
January 2013 [Provisional],AQA,GCE, General Studies A 2  OT  }  ,GENA2/1,1h 30m ,17 January 2013, Thursday pm  
January 2013 [Provisional],AQA,GCE, General Studies A 2 Written }    ,GENA2/2,0h 0m  ,17 January 2013, Thursday pm  
January 2013 [Provisional],AQA,GCE, General Studies A 4    ,GENA4,2h     ,23 January 2013, Wednesday am  
Summer 2009 [Final],OCR,GCSE, Mathematics Module Test M4:Written Paper  ,B274/01,1h 00m ,23 June 2009, Tuesday am  
Summer 2009 [Final],OCR,GCSE, Mathematics Module Test M9:Written Paper  ,B279/01,1h 00m ,23 June 2009, Tuesday am  
Summer 2009 [Final],OCR,GCSE, Mathematics Module Test M5:Written Paper  ,B275/01,1h 00m ,23 June 2009, Tuesday am  
Summer 2009 [Final],OCR,GCSE, Mathematics Module Test M7:Written Paper  ,B277/01,1h 00m ,23 June 2009, Tuesday am  
Summer 2009 [Final],AQA,GCSE, Mathematics B (Modular) Module 3 (calculator) Written  ,43053/HA,0h 45m ,23 June 2009, Tuesday am  
Summer 2009 [Final],AQA,GCSE, Mathematics B (Modular) Module 3 (non-calculator) (9.50 am) Written  ,43053/FB,0h 45m ,23 June 2009, Tuesday am  
Summer 2009 [Final],AQA,GCSE, Mathematics B (Modular) Module 3 (non-calculator) (9.50 am) Written  ,43053/HB,0h 45m ,23 June 2009, Tuesday am  
Summer 2009 [Final],AQA,GCSE, Mathematics B (Modular) Module 3 (calculator) Written  ,43053/FA,0h 45m ,23 June 2009, Tuesday am  
Summer 2009 [Final],OCR,GCSE, Mathematics Module Test M6:Written Paper  ,B276/01,1h 00m ,23 June 2009, Tuesday am  
Summer 2009 [Final],OCR,GCSE, Mathematics Module Test M1:Written Paper  ,B271/01,1h 00m ,23 June 2009, Tuesday am  
March 2011 [Final],WJEC,ELC, Land Studies- Written Paper  ,071501,1h     ,16 March 2011, Wednesday pm  
Summer 2009 [Final],AQA,GCE, Human Biology 1 (New Specification) Written  ,HBIO1,1h 30m ,1 June 2009, Monday pm  
Summer 2009 [Final],AQA,GCE, Human Biology 2 (New Specification) Written  ,HBIO2,1h 30m ,4 June 2009, Thursday pm  
Summer 2013 [Provisional],AQA,GCSE, Sociology Unit 2  ,41902,1h 30m ,22 May 2013, Wednesday am  
Summer 2013 [Provisional],WJEC,GCSE, Sociology Unit 2  ,451201,1h 30m ,22 May 2013, Wednesday am  
Summer 2013 [Provisional],OCR,GCSE, Sociology:Applying Sociological Research Techniques:Written  ,B673/01,1h 00m ,22 May 2013, Wednesday am  
Summer 2013 [Provisional],AQA,GCE, Sociology 3  ,SCLY3,1h 30m ,5 June 2013, Wednesday pm  
Summer 2013 [Provisional],OCR,GCE, Sociology:Exploring Social Inequality and Difference:Written  ,G674/01,2h 00m ,5 June 2013, Wednesday pm  
Summer 2013 [Provisional],WJEC,GCE, Sociology SY3  ,135301,1h 30m ,5 June 2013, Wednesday pm  
Summer 2013 [Provisional],OCR,GCE, Sociology:Power and Control:Written  ,G673/01,1h 30m ,13 June 2013, Thursday am  
Summer 2013 [Provisional],WJEC,GCE, Sociology SY4  ,135401,2h     ,13 June 2013, Thursday am  
Summer 2013 [Provisional],AQA,GCE, Sociology 4  ,SCLY4,2h     ,13 June 2013, Thursday am  
January 2011 [Final],CCEA,ELC, Local &amp; Global Citizenship  ,ELW11,0h 45m ,7 January 2011, Friday am  
January 2011 [Final],CCEA,ELC, Local &amp; Global Citizenship  ,ELL31,0h 45m ,7 January 2011, Friday am  
January 2011 [Final],CCEA,ELC, Personal Development  ,ELL41,0h 45m ,7 January 2011, Friday pm  
January 2011 [Final],CCEA,ELC, P.S.H.E.  ,ELW21,0h 45m ,7 January 2011, Friday pm  
January 2011 [Final],CCEA,ELC, Learning for Work  ,ELW31,0h 45m ,10 January 2011, Monday pm  
January 2011 [Final],CCEA,ELC, Employability  ,ELL51,0h 45m ,10 January 2011, Monday pm  
Summer 2013 [Provisional],Edexcel,GCE, Greek 1: Understanding &amp; Written Response In Greek  ,6GK01,2h 45m ,16 May 2013, Thursday am  
Summer 2013 [Provisional],Edexcel,GCE," Greek 2: Research, Understanding And Written Response  ",6GK02,3h 00m ,18 June 2013, Tuesday pm  
Summer 2013 [Provisional],Edexcel,GCSE, Unit 1: Listening And Understanding  ,5GK01,0h 45m ,21 June 2013, Friday am  
Summer 2013 [Provisional],Edexcel,GCSE, Unit 3: Reading And Understanding  ,5GK03,0h 55m ,21 June 2013, Friday am  
Summer 2013 [Provisional],Edexcel,GCSE, Unit 4: Writing In Greek  ,5GK04,1h 00m ,25 June 2013, Tuesday am  
Summer 2010 [Final],Edexcel,GCSE, RELIGIOUS STUDIES REL/LIFE/JUDAISM  ,5RS05,1h 30m ,18 May 2010, Tuesday pm  
Summer 2010 [Final],OCR,GCSE," Religious Studies A - Christian Perspectives on Personal,Social &amp; World Issues:Paper 2B  ",2302/02,1h 30m ,18 May 2010, Tuesday pm  
Summer 2010 [Final],AQA,GCSE, Religious Studies (Short Course) B  ,30602,1h 45m ,18 May 2010, Tuesday pm  
Summer 2010 [Final],Edexcel,GCSE, RELIGIOUS STUDIES REL/LIFE/CHRISTIANITY  ,5563 01,2h 00m ,18 May 2010, Tuesday pm  
Summer 2010 [Final],AQA,GCSE, Religious Studies (Short Course) B  ,30603,1h 45m ,18 May 2010, Tuesday pm  
Summer 2010 [Final],CCEA,GCSE, Religious Studies Unit 2  ,GRS22,1h 30m ,18 May 2010, Tuesday pm  
Summer 2010 [Final],CCEA,GCSE, Religious Studies Unit 1  ,GRS11,1h 30m ,18 May 2010, Tuesday pm  
Summer 2010 [Final],WJEC,GCSE, Religious Studies Spec B Paper 1 - Life (Units 1-4) (Legacy)  ,20601,1h 35m ,18 May 2010, Tuesday pm  
Summer 2010 [Final],OCR,GCSE," Religious Studies:Christianity (R C) 1 (Beliefs,Special Days,Divisions &amp; Interpretations):Written  ",B573/01,1h 00m ,18 May 2010, Tuesday pm  
Summer 2010 [Final],OCR,GCSE," Religious Studies A - Christian Perspectives on Personal,Social &amp; World Issues:Paper 2A  ",2302/01,1h 30m ,18 May 2010, Tuesday pm  
Summer 2009 [Final],AQA,GCE, History of Art 1 (New Specification) Written  ,HART1,1h 00m ,19 May 2009, Tuesday am  
Summer 2009 [Final],AQA,GCE, History of Art 2 (New Specification) Written  ,HART2,1h 30m ,4 June 2009, Thursday pm  
January 2013 [Provisional],WJEC,GCE, Mathematics M1  ,098001,1h 30m ,25 January 2013, Friday pm  
January 2013 [Provisional],AQA,GCE, Mathematics - Pure Core 4  ,MPC4,1h 30m ,25 January 2013, Friday pm  
January 2013 [Provisional],AQA,GCE, Mathematics - Decision 1  ,MD01,1h 30m ,25 January 2013, Friday pm  
January 2013 [Provisional],Edexcel,GCE, MATHEMATICS: CORE MATHEMATICS C4  ,6666,1h 30m ,25 January 2013, Friday pm  
January 2013 [Provisional],AQA,GCE, Mathematics - Statistics 2B  ,MS2B,1h 30m ,28 January 2013, Monday am  
January 2013 [Provisional],AQA,GCE, Mathematics - Decision 2  ,MD02,1h 30m ,28 January 2013, Monday am  
January 2013 [Provisional],WJEC,GCE, Mathematics S1  ,098301,1h 30m ,28 January 2013, Monday am  
January 2013 [Provisional],AQA,GCE, Mathematics - Mechanics 2B  ,MM2B,1h 30m ,28 January 2013, Monday am  
January 2013 [Provisional],OCR,GCE, Mathematics:MEI Differential Equations:Written Paper  ,4758/01,1h 30m ,28 January 2013, Monday am  
January 2013 [Provisional],OCR,GCE, Mathematics:Probability and Statistics 1:Written Paper  ,4732/01,1h 30m ,28 January 2013, Monday am  
January 2011 [Final],OCR,GCSE," Physics B: Unit 2 (P4, P5, P6) Foundation  ",B652/01,1h 00m ,31 January 2011, Monday pm  
January 2011 [Final],OCR,GCE, Physics:Field and Particle Pictures:Written Paper  ,G495/01,2h 00m ,2 February 2011, Wednesday pm  
January 2011 [Final],OCR,GCE," Physics:Fields, Particles and Frontiers of Physics:Written Paper  ",G485/01,1h 45m ,2 February 2011, Wednesday pm  
Summer 2009 [Final],OCR,GCSE, Persian:Listening  ,1922/01,0h 45m ,11 May 2009, Monday pm  
Summer 2009 [Final],OCR,GCE," Persian: Listening, Reading and Writing 1:Written Paper  ",F885/01,2h 30m ,20 May 2009, Wednesday pm  
Summer 2009 [Final],OCR,GCE, Persian: Reading and Writing 1:Written Paper  ,2894/01,3h 00m ,20 May 2009, Wednesday pm  
Summer 2009 [Final],OCR,GCSE, Persian:Reading  ,1922/03,1h 00m ,21 May 2009, Thursday pm  
Summer 2009 [Final],OCR,GCSE, Persian:Writing  ,1922/04,1h 15m ,22 May 2009, Friday pm  
Summer 2009 [Final],OCR,GCE, Persian: Reading and Writing 2:Written Paper  ,2895/01,3h 00m ,22 June 2009, Monday pm  
Summer 2011 [Final],CCEA,GCSE, Home Economics(Child Development Unit 1)  ,GHC11,1h 00m ,3 June 2011, Friday am  
Summer 2011 [Final],CCEA,GCSE, Home Economics(Child Development Unit 2)  ,GHC21,1h 00m ,10 June 2011, Friday pm  
Summer 2010 [Final],WJEC,GCSE, Home Economics (Textiles) Paper 2 Higher (Legacy)  ,17402,1h 30m ,21 June 2010, Monday pm  
Summer 2010 [Final],WJEC,GCSE, Home Economics (Textiles) Paper 1 Foundation (Legacy)  ,17401,1h 30m ,21 June 2010, Monday pm  
January 2013 [Provisional],OCR,GCSE," Biology A: Unit 1 (B1, B2, B3) Higher  ",A221/02,0h 40m ,9 January 2013, Wednesday am  
January 2013 [Provisional],OCR,GCSE," Biology A Modules B1, B2, B3:Written Paper - Foundation  ",A161/01,1h 00m ,9 January 2013, Wednesday am  
January 2013 [Provisional],OCR,GCE," Biology:Cells, Exchange and Transport:Written Paper  ",F211/01,1h 00m ,9 January 2013, Wednesday am  
January 2013 [Provisional],OCR,GCSE," Biology A Modules B1, B2, B3:Written Paper - Higher  ",A161/02,1h 00m ,9 January 2013, Wednesday am  
January 2013 [Provisional],OCR,GCSE," Biology A: Unit 1 (B1, B2, B3) Foundation  ",A221/01,0h 40m ,9 January 2013, Wednesday am  
January 2013 [Provisional],OCR,GCE," Biology:Communication, Homeostasis and Energy:Written Paper  ",F214/01,1h 15m ,11 January 2013, Friday pm  
January 2013 [Provisional],OCR,GCSE," Biology B: Unit 1 (B1, B2, B3) Foundation  ",B631/01,1h 00m ,14 January 2013, Monday am  
January 2013 [Provisional],OCR,GCSE," Biology modules B1, B2, B3:Written Paper - Higher  ",B731/02,1h 15m ,14 January 2013, Monday am  
January 2013 [Provisional],OCR,GCSE," Biology modules B1, B2, B3:Written Paper - Foundation  ",B731/01,1h 15m ,14 January 2013, Monday am  
January 2013 [Provisional],OCR,GCSE," Biology B: Unit 1 (B1, B2, B3) Higher  ",B631/02,1h 00m ,14 January 2013, Monday am  
January 2009 [Final],WJEC,GCE, Mathematics M1 (Legacy)  ,098001,1h 30m ,19 January 2009, Monday pm  
January 2009 [Final],Edexcel,GCE, MATHEMATICS CORE MATHEMATICS C4  ,6666 01,1h 30m ,19 January 2009, Monday pm  
January 2009 [Final],AQA,GCE, Mathematics - Pure Core 3 Written  ,MPC3,1h 30m ,19 January 2009, Monday pm  
January 2009 [Final],AQA,GCE, Mathematics - Mechanics 1A/W Written  ,MM1A/W,1h 15m ,19 January 2009, Monday pm  
January 2009 [Final],OCR,GCSE, Mathematics Module Test M4:Written Paper  ,B274/01,1h 00m ,20 January 2009, Tuesday am  
January 2009 [Final],OCR,GCSE, Mathematics Module Test M8:Written Paper  ,B278/01,1h 00m ,20 January 2009, Tuesday am  
January 2009 [Final],OCR,GCSE, Mathematics Module Test M2:Written Paper  ,B242/01,1h 00m ,20 January 2009, Tuesday am  
January 2009 [Final],OCR,GCSE, Mathematics Module Test M8:Written Paper  ,B248/01,1h 00m ,20 January 2009, Tuesday am  
January 2009 [Final],OCR,GCSE, Mathematics Module Test M9:Written Paper  ,B249/01,1h 00m ,20 January 2009, Tuesday am  
January 2009 [Final],OCR,GCSE, Mathematics Module Test M4:Written Paper  ,B244/01,1h 00m ,20 January 2009, Tuesday am  
March 2012 [Final],CCEA,ELC, Information &amp; Communication Te  ,E7341,1h 00m ,15 March 2012, Thursday am  
March 2012 [Final],WJEC,ELC, Information &amp; Communication Technology- Written Paper  ,073401,1h     ,15 March 2012, Thursday am  
Summer 2013 [Provisional],OCR,GCE, History:British History Period Studies:Medieval and Early Modern 1035-1642  ,F961/01,1h 30m ,22 May 2013, Wednesday pm  
Summer 2013 [Provisional],AQA,GCE, History Unit 2J  ,HIS2J,1h 30m ,22 May 2013, Wednesday pm  
Summer 2013 [Provisional],Edexcel,GCE, History 2: British History Depth Studies  ,6HI02,1h 20m ,22 May 2013, Wednesday pm  
Summer 2013 [Provisional],AQA,GCE, History Unit 2C  ,HIS2C,1h 30m ,22 May 2013, Wednesday pm  
Summer 2013 [Provisional],OCR,GCE, History:Historical Explanation Non-British History:Written  ,F982/01,1h 30m ,22 May 2013, Wednesday pm  
Summer 2013 [Provisional],AQA,GCE, History Unit 2D  ,HIS2D,1h 30m ,22 May 2013, Wednesday pm  
Summer 2013 [Provisional],AQA,GCE, History Unit 2G  ,HIS2G,1h 30m ,22 May 2013, Wednesday pm  
Summer 2013 [Provisional],AQA,GCE, History Unit 3E  ,HIS3E,1h 30m ,3 June 2013, Monday am  
Summer 2013 [Provisional],AQA,GCE, History Unit 3C  ,HIS3C,1h 30m ,3 June 2013, Monday am  
Summer 2013 [Provisional],AQA,GCE, History Unit 3H  ,HIS3H,1h 30m ,3 June 2013, Monday am  
January 2009 [Final],OCR,GCE, Psychology:Psychology and Crime:Written Paper  ,2549/01,1h 30m ,21 January 2009, Wednesday am  
January 2009 [Final],Edexcel,GCE, PSYCHOLOGY CRIMINOLOGICAL TOPIC  ,6764 4B,0h 45m ,21 January 2009, Wednesday am  
January 2009 [Final],AQA,GCE, Psychology A 4 Written  ,PYA4,1h 30m ,21 January 2009, Wednesday am  
January 2009 [Final],Edexcel,GCE, PSYCHOLOGY CLINICAL TOPIC  ,6764 4A,0h 45m ,21 January 2009, Wednesday am  
January 2009 [Final],OCR,GCE, Psychology:Psychology and Health:Written Paper  ,2545/01,1h 30m ,21 January 2009, Wednesday am  
January 2009 [Final],Edexcel,GCE, PSYCHOLOGY SPORT TOPIC  ,6764 4E,0h 45m ,21 January 2009, Wednesday am  
January 2009 [Final],OCR,GCE, Psychology:Psychology and Education:Written Paper  ,2544/01,1h 30m ,21 January 2009, Wednesday am  
January 2009 [Final],AQA,GCE, Psychology B 4 Written  ,PYB4,1h 30m ,21 January 2009, Wednesday am  
January 2009 [Final],OCR,GCE, Psychology:Psychology and Sport:Written Paper  ,2548/01,1h 30m ,21 January 2009, Wednesday am  
January 2009 [Final],AQA,GCE, Psychology A 5 Written  ,PYA5,2h 00m ,23 January 2009, Friday am  
November 2009 [Final],CCEA,GCSE, Science: DA(Mod) Life (Higher)  ,GDA02,0h 45m ,16 November 2009, Monday pm  
November 2009 [Final],CCEA,GCSE, Science: DA(Mod) Materials (H)  ,GDB02,0h 45m ,16 November 2009, Monday pm  
November 2009 [Final],CCEA,GCSE, Science: DA (Mod) Life (Found)  ,GDA01,0h 45m ,16 November 2009, Monday pm  
November 2009 [Final],CCEA,GCSE, Science: DA(Mod) Materials (F)  ,GDB01,0h 45m ,16 November 2009, Monday pm  
November 2009 [Final],CCEA,GCSE, Science: DA (Mod) Forces (F)  ,GDC01,0h 45m ,17 November 2009, Tuesday am  
November 2009 [Final],CCEA,GCSE, Science: DA(Mod) Forces (H)  ,GDC02,0h 45m ,17 November 2009, Tuesday am  
Summer 2013 [Provisional],AQA,GCE, History Unit 1L  ,HIS1L,1h 15m ,14 May 2013, Tuesday am  
Summer 2013 [Provisional],AQA,GCE, History Unit 2F  ,HIS2F,1h 30m ,22 May 2013, Wednesday pm  
Summer 2013 [Provisional],OCR,GCE, History:European and World History Period Studies:Modern 1795-2003  ,F962/02,1h 30m ,22 May 2013, Wednesday pm  
Summer 2013 [Provisional],AQA,GCE, History Unit 2P  ,HIS2P,1h 30m ,22 May 2013, Wednesday pm  
Summer 2013 [Provisional],AQA,GCE, History Unit 2S  ,HIS2S,1h 30m ,22 May 2013, Wednesday pm  
Summer 2013 [Provisional],OCR,GCE, History:British History Period Studies:Modern 1783-1994  ,F961/02,1h 30m ,22 May 2013, Wednesday pm  
Summer 2013 [Provisional],WJEC,GCE, History HY2 All Options  ,123200,1h 30m ,22 May 2013, Wednesday pm  
Summer 2013 [Provisional],AQA,GCE, History Unit 2E  ,HIS2E,1h 30m ,22 May 2013, Wednesday pm  
Summer 2013 [Provisional],AQA,GCE, History Unit 2K  ,HIS2K,1h 30m ,22 May 2013, Wednesday pm  
Summer 2013 [Provisional],AQA,GCE, History Unit 2O  ,HIS2O,1h 30m ,22 May 2013, Wednesday pm  
March 2009 [Final],WJEC,ELC, Childcare- Written Paper  ,070501,1h     ,26 March 2009, Thursday am  
November 2010 [Final],AQA,GCSE, Biology OT-screen based  ,BL1ASF,30m    ,11 November 2010, Thursday pm  
November 2010 [Final],AQA,GCSE, Physics OT-screen based  ,PH1BSF,30m    ,11 November 2010, Thursday pm  
November 2010 [Final],AQA,GCSE, Chemistry OT-screen based  ,CH1ASF,30m    ,11 November 2010, Thursday pm  
November 2010 [Final],AQA,GCSE, Physics OT-screen based  ,PH1BSH,30m    ,11 November 2010, Thursday pm  
November 2010 [Final],AQA,GCSE, Biology OT-screen based  ,BL1BSH,30m    ,11 November 2010, Thursday pm  
November 2010 [Final],AQA,GCSE, Physics OT-paper based  ,PHY1AP,30m    ,11 November 2010, Thursday pm  
November 2010 [Final],AQA,GCSE, Physics OT-paper based  ,PHY1BP,30m    ,11 November 2010, Thursday pm  
November 2010 [Final],AQA,GCSE, Biology OT-screen based  ,BL1BSF,30m    ,11 November 2010, Thursday pm  
November 2010 [Final],AQA,GCSE, Chemistry OT-paper based  ,CHY1AP,30m    ,11 November 2010, Thursday pm  
November 2010 [Final],AQA,GCSE, Biology OT-paper based  ,BLY1AP,30m    ,11 November 2010, Thursday pm  
January 2011 [Final],Edexcel,GCE, APPLIED BUSINESS: MARKETING DECISIONS  ,6925 01,1h 30m ,20 January 2011, Thursday pm  
January 2011 [Final],OCR,GCE, Applied Business:Business law:Written Paper  ,F256/01,2h 00m ,20 January 2011, Thursday pm  
January 2011 [Final],OCR,GCE, Applied Business:Managing risks in the workplace:Written Paper  ,F257/01,2h 00m ,24 January 2011, Monday pm  
January 2011 [Final],CCEA,GCE, *Applied Business Unit 12 (1hr  30m)  ,A6B61,1h 30m ,24 January 2011, Monday pm  
January 2011 [Final],AQA,GCE, Applied Business 12  ,BS12,1h 30m ,24 January 2011, Monday pm  
January 2011 [Final],AQA,GCE, Applied Business 15  ,BS15,1h 30m ,31 January 2011, Monday pm  
Summer 2012 [Final],OCR,GCSE, Leisure and Tourism:Understanding the leisure and tourism industries:Written Paper  ,B181/01,1h 30m ,14 May 2012, Monday pm  
Summer 2012 [Final],CCEA,GCSE, Leisure &amp; Tourism Unit 1  ,GLT11,1h 30m ,14 May 2012, Monday pm  
Summer 2012 [Final],AQA,GCSE, Leisure and Tourism Unit 1  ,48401,1h     ,14 May 2012, Monday pm  
Summer 2012 [Final],WJEC,GCSE, Leisure &amp; Tourism Unit 2  ,476201,1h 30m ,14 May 2012, Monday pm  
Summer 2012 [Final],Edexcel,GCSE, LEISURE AND TOURISM UNIT 1: THE LEISURE AND TOURISM INDUSTRY  ,5LT01,1h 00m ,14 May 2012, Monday pm  
Summer 2012 [Final],WJEC,GCSE, Leisure &amp; Tourism Unit 4  ,476401,1h 30m ,18 May 2012, Friday am  
Summer 2012 [Final],Edexcel,GCSE, LEISURE AND TOURISM UNIT 3: THE LEISURE AND TOURISM ENVIRONMENT  ,5LT03,1h 00m ,18 May 2012, Friday am  
Summer 2012 [Final],OCR,GCSE, Leisure and Tourism:Working in the leisure and tourism industries:Written Paper  ,B183/01,1h 30m ,18 May 2012, Friday am  
Summer 2012 [Final],Edexcel,GCE, Mathematics: Decision Mathematics D1  ,6689 01,1h 30m ,18 May 2012, Friday am  
Summer 2012 [Final],OCR,GCE, Mathematics:Decision Mathematics 2:Written Paper  ,4737/01,1h 30m ,18 May 2012, Friday am  
Summer 2012 [Final],OCR,GCE, Mathematics:Decision Mathematics 1:Written Paper  ,4736/01,1h 30m ,24 May 2012, Thursday am  
Summer 2012 [Final],Edexcel,GCE, Mathematics: Decision Mathematics D2  ,6690 01,1h 30m ,31 May 2012, Thursday am  
